jun 23 20:29:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:30:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:31:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:32:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:33:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:34:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:35:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:36:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:37:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:38:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:39:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:40:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:41:38 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:42:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:43:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:44:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:45:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:46:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
